Below is the fully revised API specification for your enhanced meeting assistant, with automation at meeting end:

| HTTP Method | Path                                  | Request Payload                                                                                                               | Sample Response Payload                                                                                                                                                                                    |
| ----------- | ------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **POST**    | `/auth/register`                      | `{ "username": "jdoe", "email": "jdoe@example.com", "password": "s3cr3t" }`                                                   | `{ "id": "user_123", "username": "jdoe", "email": "jdoe@example.com" }`                                                                                                                                    |
| **POST**    | `/auth/login`                         | `{ "email": "jdoe@example.com", "password": "s3cr3t" }`                                                                       | `{ "access_token": "<jwt>", "token_type": "bearer" }`                                                                                                                                                      |
| **GET**     | `/auth/me`                            | — (JWT in `Authorization` header)                                                                                             | `{ "id":"user_123","username":"jdoe","email":"jdoe@example.com" }`                                                                                                                                         |
| **POST**    | `/users/{user_id}/email-verification` | —                                                                                                                             | `{ "message": "Verification email sent." }`                                                                                                                                                                |
| **POST**    | `/meetings/`                          | `{ "code": "abc-defg-hij", "start_time": "2025-08-05T10:00:00Z" }`                                                            | `{ "id":"meet_456","code":"abc-defg-hij","start_time":"2025-08-05T10:00:00Z","status":"active" }`                                                                                                          |
| **GET**     | `/meetings/`                          | — (optional `?status=`)                                                                                                       | `[ { "id":"meet_456","code":"...","status":"active" }, … ]`                                                                                                                                                |
| **GET**     | `/meetings/{meeting_id}`              | —                                                                                                                             | `{ "id":"meet_456","code":"...","start_time":"...","status":"active" }`                                                                                                                                    |
| **POST**    | `/meetings/{meeting_id}/join`         | —                                                                                                                             | `{ "message": "Bot joined meeting as observer." }`                                                                                                                                                         |
| **POST**    | `/meetings/{meeting_id}/complete`     | —                                                                                                                             | `{ "summary": ["..."], "tasks": [ { "id":1,"title":"...","assignee_user_id":"user_123","due_date":"2025-08-07" } ], "tickets": [ { "task_id":1,"platform":"asana","url":"https://app.asana.com/..." } ] }` |
| **POST**    | `/audio/stream` (WebSocket)           | Stream raw PCM audio chunks                                                                                                   | N/A (streaming endpoint)                                                                                                                                                                                   |
| **POST**    | `/transcripts/`                       | `{ "meeting_id":"meet_456", "segments":[{ "start":0.0,"end":2.5,"text":"Hello team" }] }`                                     | `{ "message": "Transcripts stored." }`                                                                                                                                                                     |
| **GET**     | `/transcripts/{meeting_id}`           | —                                                                                                                             | `{ "meeting_id":"meet_456","segments":[ … ] }`                                                                                                                                                             |
| **POST**    | `/diarization/`                       | `{ "meeting_id":"meet_456", "audio_url":"/audio/chunk.wav" }`                                                                 | `{ "message": "Diarization complete." }`                                                                                                                                                                   |
| **GET**     | `/diarization/{meeting_id}`           | —                                                                                                                             | `{ "meeting_id":"meet_456","speakers":[ {"start":0.0,"end":2.5,"speaker":"Speaker_1"} ] }`                                                                                                                 |
| **POST**    | `/summaries/`                         | `{ "meeting_id":"meet_456", "window_text":"..." }`                                                                            | `{ "bullets":["Discussed Q3 roadmap","Assigned follow-ups"] }`                                                                                                                                             |
| **GET**     | `/summaries/{meeting_id}`             | —                                                                                                                             | `{ "meeting_id":"meet_456","bullets":[…] }`                                                                                                                                                                |
| **POST**    | `/tasks/`                             | `{ "meeting_id":"meet_456","title":"Review deck","description":"...","assignee_user_id":"user_123","due_date":"2025-08-07" }` | `{ "id":1,"meeting_id":"meet_456","title":"Review deck","assignee_user_id":"user_123","due_date":"2025-08-07","status":"pending" }`                                                                        |
| **GET**     | `/tasks/`                             | — (optional `?meeting_id=&status=&assignee=`)                                                                                 | `[ { "id":1, … }, … ]`                                                                                                                                                                                     |
| **GET**     | `/tasks/{task_id}`                    | —                                                                                                                             | `{ "id":1,"meeting_id":"meet_456","title":"Review deck","description":"...","assignee_user_id":"user_123","due_date":"2025-08-07","external_url":"https://app.asana.com/..." }`                            |
| **PATCH**   | `/tasks/{task_id}`                    | `{ "status":"completed" }`                                                                                                    | `{ "id":1,"status":"completed" }`                                                                                                                                                                          |
| **DELETE**  | `/tasks/{task_id}`                    | —                                                                                                                             | `{ "message": "Task deleted." }`                                                                                                                                                                           |
| **POST**    | `/integrations/email`                 | `{ "task_id":1, "template_id":"task_assign" }`                                                                                | `{ "message": "Email sent to assignee." }`                                                                                                                                                                 |
| **POST**    | `/integrations/asana`                 | `{ "task_id":1, "workspace_id":"ws_789","project_id":"proj_456","assignee_email":"jdoe@example.com" }`                        | `{ "task_id":1,"platform":"asana","url":"https://app.asana.com/..." }`                                                                                                                                     |
| **POST**    | `/integrations/jira`                  | `{ "task_id":1, "project_key":"PROJ","issue_type":"Task","assignee_email":"jdoe@example.com" }`                               | `{ "task_id":1,"platform":"jira","url":"https://jira.example.com/browse/PROJ-123" }`                                                                                                                       |
| **POST**    | `/notifications/slack`                | `{ "channel":"#general","message":"You have 2 new tasks assigned." }`                                                         | `{ "message": "Notification posted." }`                                                                                                                                                                    |
| **GET**     | `/search?q=keyword`                   | —                                                                                                                             | `{ "results":[ { "type":"transcript","text":"..." }, { "type":"task","title":"..." } ] }`                                                                                                                  |
| **POST**    | `/export/markdown`                    | `{ "meeting_id":"meet_456" }`                                                                                                 | `{ "file_path":"/reports/meet_456.md" }`                                                                                                                                                                   |
| **POST**    | `/export/pdf`                         | `{ "meeting_id":"meet_456" }`                                                                                                 | `{ "file_path":"/reports/meet_456.pdf" }`                                                                                                                                                                  |
| **POST**    | `/export/google-doc`                  | `{ "meeting_id":"meet_456","folder_id":"folder_123" }`                                                                        | `{ "doc_url":"https://docs.google.com/document/d/abcd" }`                                                                                                                                                  |
